2023	04	09	14:47:58	c57fc874-7c09-40dd-ab59-06dc63ecd244	GET	undefined	/css/style.css
2023	04	09	14:48:05	160cd840-1ebc-46d9-942d-bd2c08952eb2	GET	undefined	/new-page
2023	04	09	14:48:05	1ec260a9-d498-49b9-82b9-3dc54ca6965d	GET	undefined	/css/style.css
2023	04	09	14:48:05	d9f4823d-8b3d-4a6a-979a-6f9a346f9684	GET	undefined	/img/img1.jpg
2023	04	09	14:48:21	22ac79dc-41f5-4337-9408-e04121c27cc0	GET	undefined	/old-page
2023	04	09	14:48:21	acf15e77-7cd4-4c0a-a467-3f1753993deb	GET	undefined	/new-page.html
2023	04	09	14:48:21	6fcc6079-ba7c-4a4f-bdd3-2683c1f6576b	GET	undefined	/css/style.css
2023	04	09	14:48:21	81c0fbee-21c4-4bf1-88bd-30b29c68d088	GET	undefined	/img/img1.jpg
2023	04	09	15:02:14	c073c1f3-4adb-4154-bb2e-ddb2ff2495f9	GET	undefined	/employees
2023	04	09	15:03:55	d0c7324f-23d3-42ee-9f55-7ed21b0354c6	POST	undefined	/employees
2023	04	09	15:05:05	410e41fb-d18a-490b-bac4-e427b3a3a123	PUT	undefined	/employees
2023	04	09	15:05:18	e018cb47-b796-4132-a351-b056b525a236	DELETE	undefined	/employees
2023	04	09	15:05:45	9e17e203-9423-43f3-b357-1ae1e449f331	GET	undefined	/employees/1
2023	04	10	19:16:17	a9060283-bb36-43c1-be3a-542d6c8bc641	GET	undefined	/employees/1
2023	04	10	19:16:48	633851cc-9a2e-4921-8131-e1a91dc081b4	GET	undefined	/employees
2023	04	10	19:16:54	d7829742-d663-41f3-9037-5623b95e7812	POST	undefined	/employees
2023	04	10	19:17:04	ec51ecfd-3641-49ce-8653-10fc59ca7f89	GET	undefined	/employees
2023	04	10	19:17:43	3fc8160d-89c9-471a-82bf-bf8d27979621	PUT	undefined	/employees
2023	04	10	19:26:36	c5017529-b7dd-4f13-887e-aa40e91a6f46	POST	undefined	/employees
2023	04	16	15:15:33	f6c4614a-6fa3-4326-bba6-a1e47a0adb30	POST	undefined	/register
2023	04	16	15:29:32	b63fa3cb-0d0a-4a07-b923-df197af23963	POST	undefined	/register
2023	04	16	15:31:44	44536949-bd49-4b9d-a9b0-3608ab3368c6	POST	undefined	/register
2023	04	16	15:36:15	14811ba2-ecf6-41bf-a019-98a8ceb7f9db	POST	undefined	/register
2023	04	16	15:45:44	901301a7-42e5-49eb-adea-4758b4201e13	POST	undefined	/register
2023	04	16	15:46:47	a0981419-c6d2-4b7f-8c5c-bc9df56fc22c	POST	undefined	/register
2023	04	20	20:00:47	03b8989f-adb0-4574-a95a-fd827ff43918	GET	undefined	/
2023	04	20	20:00:47	4aab9461-dd3a-4e56-80fb-75779a2b9b90	GET	undefined	/css/style.css
2023	04	20	20:00:47	6c89e0d9-dc35-48e9-a546-1842b8eff2d8	GET	undefined	/favicon.ico
2023	04	20	20:00:47	2cc32149-4ec7-4eaa-b66b-775cf1b2d726	GET	undefined	/apple-touch-icon-precomposed.png
2023	04	20	20:00:47	79aa7ac9-b1dc-45fe-ab98-54ee585e0b0f	GET	undefined	/apple-touch-icon.png
